id,word,품사,뜻,예문,카테고리,추가 카테고리,소분류,레벨,뜻 번호
sale,sale,명사,"할인 판매, 세일",The shoes are on sale.,쇼핑,,값,2,1
discount,discount,명사,할인,I get a discount.,쇼핑,,값,3,1
expensive,expensive,형용사,비싼,This bag is expensive.,쇼핑,돈,값,2,1
cash,cash,명사,현금,I pay in cash.,쇼핑,돈,값,2,1
closed,closed,형용사,"닫은, 영업이 끝난",The shop is closed.,쇼핑,상태,가게 상태,2,1
medium,medium,형용사,"중간의, M 사이즈의",I want a medium size.,쇼핑,,가게 상태,3,1
bill,bill,명사,"지폐, 계산서",I have a one-dollar bill.,돈,,돈 종류,3,1
credit-card,credit card,명사,신용카드,Mom pays with a credit card.,돈,,돈 종류,3,1
wallet,wallet,명사,지갑,My wallet is in my bag.,돈,,돈 종류,2,1
purse,purse,명사,"작은 지갑, 핸드백",She has a red purse.,돈,,돈 종류,3,1
won,won,명사,원 (한국 돈),It is one thousand won.,돈,,돈 종류,2,1
cent,cent,명사,센트,This candy is fifty cents.,돈,,돈 종류,3,1
penny,penny,명사,1센트 동전,I found a penny.,돈,,돈 종류,3,1
save,save,동사,"저축하다, 아끼다",I save my money.,돈,과학기술 / 환경,저축,2,1
account,account,명사,계좌,I have a bank account.,돈,,저축,4,1
allowance,allowance,명사,용돈,I get an allowance every week.,돈,,저축,3,1
instrument,instrument,명사,악기,The piano is an instrument.,음악,,악기,3,1
keyboard,keyboard,명사,"건반, 키보드",I play the keyboard.,음악,과학기술,악기,2,1
electric-guitar,electric guitar,명사,전기 기타,He plays the electric guitar.,음악,,악기,3,1
bass,bass,명사,베이스 (악기),He plays the bass.,음악,,악기,4,1
cello,cello,명사,첼로,She plays the cello.,음악,,악기,3,1
drums,drums,명사,드럼,I play the drums.,음악,,악기,2,1
flute,flute,명사,플루트,She plays the flute.,음악,,악기,3,1
recorder,recorder,명사,리코더,I play the recorder.,음악,,악기,2,1
trumpet,trumpet,명사,트럼펫,He plays the trumpet.,음악,,악기,3,1
trombone,trombone,명사,트롬본,The trombone is loud.,음악,,악기,4,1
saxophone,saxophone,명사,색소폰,He plays the saxophone.,음악,,악기,4,1
clarinet,clarinet,명사,클라리넷,She plays the clarinet.,음악,,악기,4,1
harmonica,harmonica,명사,하모니카,I play the harmonica.,음악,,악기,3,1
tambourine,tambourine,명사,탬버린,I shake the tambourine.,음악,,악기,3,1
triangle,triangle,명사,"트라이앵글 (악기, 삼각형)",I hit the triangle.,음악,모양,악기,2,1
xylophone,xylophone,명사,실로폰,I play the xylophone.,음악,,악기,3,1
cymbal,cymbal,명사,심벌즈,The cymbal is loud.,음악,,악기,4,1
microphone,microphone,명사,마이크,I sing into the microphone.,음악,과학기술,악기,3,1
orchestra,orchestra,명사,오케스트라,The orchestra plays a song.,음악,,음악 요소,4,1
melody,melody,명사,"멜로디, 가락",I like this melody.,음악,,음악 요소,3,1
rhythm,rhythm,명사,리듬,Clap to the rhythm.,음악,,음악 요소,3,1
beat,beat,명사,박자,I like the beat.,음악,,음악 요소,3,1
nature,nature,명사,자연,I love nature.,자연/날씨,환경,자연 풍경,2,1
valley,valley,명사,"계곡, 골짜기",The valley is green.,자연/날씨,,자연 풍경,3,1
pond,pond,명사,연못,Ducks swim in the pond.,자연/날씨,,자연 풍경,2,1
ocean,ocean,명사,"바다, 대양",The ocean is big.,자연/날씨,환경,자연 풍경,2,1
waterfall,waterfall,명사,폭포,The waterfall is beautiful.,자연/날씨,,자연 풍경,3,1
forest,forest,명사,숲,Deer live in the forest.,자연/날씨,환경,자연 풍경,2,1
woods,woods,명사,"숲, 삼림",We walk in the woods.,자연/날씨,,자연 풍경,3,1
desert,desert,명사,사막,The desert is hot.,자연/날씨,,자연 풍경,3,1
leaves,leaves,명사,나뭇잎 (복수),The leaves turn red.,자연/날씨,,식물,2,1
branch,branch,명사,나뭇가지,A bird is on the branch.,자연/날씨,,식물,3,1
root,root,명사,뿌리,The plant has long roots.,자연/날씨,,식물,3,1
seed,seed,명사,씨앗,I plant a seed.,자연/날씨,,식물,2,1
soil,soil,명사,흙,Plants grow in the soil.,자연/날씨,재료,식물,3,1
mud,mud,명사,진흙,My shoes are in the mud.,자연/날씨,,식물,3,1
sunny,sunny,형용사,화창한,It is sunny today.,자연/날씨,,날씨,1,1
cloudy,cloudy,형용사,흐린,It is cloudy today.,자연/날씨,,날씨,1,1
rainy,rainy,형용사,비가 오는,It is a rainy day.,자연/날씨,,날씨,1,1
snowy,snowy,형용사,눈이 오는,It is a snowy day.,자연/날씨,,날씨,1,1
windy,windy,형용사,바람 부는,It is windy today.,자연/날씨,,날씨,1,1
foggy,foggy,형용사,안개 낀,It is foggy this morning.,자연/날씨,,날씨,3,1
stormy,stormy,형용사,폭풍우 치는,It is a stormy night.,자연/날씨,,날씨,3,1
humid,humid,형용사,습한,Summer is hot and humid.,자연/날씨,,날씨,4,1
freezing,freezing,형용사,몹시 추운,It is freezing outside.,자연/날씨,,날씨,3,1
temperature,temperature,명사,"온도, 기온",The temperature is low.,자연/날씨,과학,날씨,3,1
degree,degree,명사,도 (온도 단위),It is twenty degrees.,자연/날씨,,날씨,3,1
sunshine,sunshine,명사,햇빛,I like the sunshine.,자연/날씨,,날씨,3,1
fog,fog,명사,안개,There is fog on the road.,자연/날씨,,날씨,3,1
thunder,thunder,명사,천둥,I hear thunder.,자연/날씨,,날씨,2,1
lightning,lightning,명사,번개,I see lightning.,자연/날씨,,날씨,2,1
snowflake,snowflake,명사,눈송이,A snowflake is on my hand.,자연/날씨,,날씨,3,1
one,one,수사,"하나, 1",I have one pencil.,숫자/시간,,기수,1,1
two,two,수사,"둘, 2",I have two eyes.,숫자/시간,,기수,1,1
three,three,수사,"셋, 3",I see three birds.,숫자/시간,,기수,1,1
four,four,수사,"넷, 4",A cat has four legs.,숫자/시간,,기수,1,1
five,five,수사,"다섯, 5",I have five fingers.,숫자/시간,,기수,1,1
six,six,수사,"여섯, 6",I am six years old.,숫자/시간,,기수,1,1
seven,seven,수사,"일곱, 7",There are seven days.,숫자/시간,,기수,1,1
eight,eight,수사,"여덟, 8",A spider has eight legs.,숫자/시간,,기수,1,1
nine,nine,수사,"아홉, 9",I get up at nine.,숫자/시간,,기수,1,1
ten,ten,수사,"열, 10",I have ten toes.,숫자/시간,,기수,1,1
eleven,eleven,수사,"열하나, 11",A soccer team has eleven players.,숫자/시간,,기수,2,1
twelve,twelve,수사,"열둘, 12",There are twelve months.,숫자/시간,,기수,2,1
thirteen,thirteen,수사,"열셋, 13",My brother is thirteen.,숫자/시간,,기수,2,1
fourteen,fourteen,수사,"열넷, 14",She is fourteen.,숫자/시간,,기수,2,1
fifteen,fifteen,수사,"열다섯, 15",I have fifteen cards.,숫자/시간,,기수,2,1
sixteen,sixteen,수사,"열여섯, 16",He is sixteen.,숫자/시간,,기수,2,1
seventeen,seventeen,수사,"열일곱, 17",She is seventeen.,숫자/시간,,기수,2,1
eighteen,eighteen,수사,"열여덟, 18",He is eighteen.,숫자/시간,,기수,2,1
nineteen,nineteen,수사,"열아홉, 19",She is nineteen.,숫자/시간,,기수,2,1
twenty,twenty,수사,"스물, 20",I have twenty stickers.,숫자/시간,,기수,2,1
thirty,thirty,수사,"서른, 30",There are thirty days.,숫자/시간,,기수,2,1
forty,forty,수사,"마흔, 40",My uncle is forty.,숫자/시간,,기수,2,1
fifty,fifty,수사,"쉰, 50",I have fifty won.,숫자/시간,,기수,2,1
sixty,sixty,수사,"예순, 60",One hour is sixty minutes.,숫자/시간,,기수,2,1
seventy,seventy,수사,"일흔, 70",My grandpa is seventy.,숫자/시간,,기수,2,1
eighty,eighty,수사,"여든, 80",She is eighty years old.,숫자/시간,,기수,2,1
ninety,ninety,수사,"아흔, 90",The bus has ninety seats.,숫자/시간,,기수,2,1
first,first,수사,첫 번째의,I am first.,숫자/시간,독해/이야기,서수,1,1
second,second,수사,"두 번째의, 초",I am second.,숫자/시간,,서수,1,1
third,third,수사,세 번째의,She is third.,숫자/시간,,서수,1,1
fourth,fourth,수사,네 번째의,I am in the fourth grade.,숫자/시간,,서수,2,1
fifth,fifth,수사,다섯 번째의,Today is the fifth.,숫자/시간,,서수,2,1
sixth,sixth,수사,여섯 번째의,I am in the sixth grade.,숫자/시간,,서수,2,1
seventh,seventh,수사,일곱 번째의,July is the seventh month.,숫자/시간,,서수,2,1
eighth,eighth,수사,여덟 번째의,August is the eighth month.,숫자/시간,,서수,2,1
ninth,ninth,수사,아홉 번째의,September is the ninth month.,숫자/시간,,서수,2,1
tenth,tenth,수사,열 번째의,October is the tenth month.,숫자/시간,,서수,2,1
plus,plus,전치사,더하기,Two plus two is four.,숫자/시간,,계산,2,1
minus,minus,전치사,빼기,Five minus two is three.,숫자/시간,,계산,2,1
equal,equal,형용사,같은,Two and two equal four.,숫자/시간,,계산,3,1
more,more,형용사,더 많은,I want more.,숫자/시간,,계산,2,1
less,less,형용사,더 적은,I want less.,숫자/시간,,계산,3,1
o-clock,o'clock,부사,~시 (정각),It is three o'clock.,숫자/시간,,시간,1,1
quarter,quarter,명사,"4분의 1, 15분",It is a quarter past two.,숫자/시간,,시간,3,1
noon,noon,명사,정오,We eat lunch at noon.,숫자/시간,,시간,3,1
midnight,midnight,명사,"한밤중, 자정",I sleep at midnight.,숫자/시간,,시간,3,1
daily,daily,형용사,매일의,I have a daily routine.,숫자/시간,,빈도,3,1
every-day,every day,부사,매일,I read every day.,숫자/시간,,빈도,2,1
usually,usually,부사,"보통, 대개",I usually walk to school.,숫자/시간,,빈도,2,1
sometimes,sometimes,부사,가끔,I sometimes play games.,숫자/시간,,빈도,2,1
person,person,명사,사람,He is a nice person.,사람/가족,,사람,2,1
children,children,명사,아이들 (복수),The children play outside.,사람/가족,,사람,1,1
adult,adult,명사,어른,The adult is kind.,사람/가족,,사람,3,1
neighbor,neighbor,명사,이웃,My neighbor is friendly.,사람/가족,,사람,3,1
teacher,teacher,명사,선생님,My teacher is kind.,사람/가족,학교/문구 / 직업,사람,1,1
grandma,grandma,명사,할머니,I love my grandma.,사람/가족,,가족,1,1
grandpa,grandpa,명사,할아버지,I love my grandpa.,사람/가족,,가족,1,1
grandfather,grandfather,명사,할아버지,My grandfather is old.,사람/가족,,가족,2,1
parents,parents,명사,부모님,My parents are kind.,사람/가족,,가족,1,1
grandparents,grandparents,명사,조부모님,I visit my grandparents.,사람/가족,,가족,2,1
older-sister,older sister,명사,"언니, 누나",I have an older sister.,사람/가족,,가족,2,1
younger-sister,younger sister,명사,여동생,I have a younger sister.,사람/가족,,가족,2,1
older-brother,older brother,명사,"형, 오빠",I have an older brother.,사람/가족,,가족,2,1
younger-brother,younger brother,명사,남동생,I have a younger brother.,사람/가족,,가족,2,1
classroom,classroom,명사,교실,Our classroom is big.,학교/문구,,학교 공간,1,1
gym,gym,명사,체육관,We play in the gym.,학교/문구,,학교 공간,2,1
cafeteria,cafeteria,명사,구내식당,We eat in the cafeteria.,학교/문구,,학교 공간,3,1
recess,recess,명사,쉬는 시간,We play at recess.,학교/문구,,학교 공간,3,1
subject,subject,명사,과목,My favorite subject is art.,학교/문구,,과목,2,1
math,math,명사,수학,I like math.,학교/문구,,과목,1,1
science,science,명사,과학,Science is fun.,학교/문구,,과목,1,1
social-studies,social studies,명사,사회,We study maps in social studies.,학교/문구,,과목,3,1
art,art,명사,미술,I like art.,학교/문구,,과목,1,1
p-e,P.E.,명사,체육,We have P.E. today.,학교/문구,,과목,2,1
textbook,textbook,명사,교과서,Open your textbook.,학교/문구,,학용품,2,1
workbook,workbook,명사,"문제집, 워크북",Do your workbook.,학교/문구,,학용품,2,1
notebook,notebook,명사,공책,I write in my notebook.,학교/문구,,학용품,1,1
scissors,scissors,명사,가위,I cut paper with scissors.,학교/문구,,학용품,1,1
marker,marker,명사,"마커, 매직펜",I draw with a marker.,학교/문구,,학용품,2,1
colored-pencil,colored pencil,명사,색연필,I have colored pencils.,학교/문구,,학용품,2,1
pencil-case,pencil case,명사,필통,My pencil case is blue.,학교/문구,,학용품,1,1
whiteboard,whiteboard,명사,화이트보드,Write on the whiteboard.,학교/문구,,학용품,2,1
tablet,tablet,명사,태블릿,I use a tablet in class.,학교/문구,과학기술,학용품,3,1
homework,homework,명사,숙제,I do my homework.,학교/문구,,수업,1,1
quiz,quiz,명사,"퀴즈, 간단한 시험",We have a quiz today.,학교/문구,,수업,2,1
sentence,sentence,명사,문장,Read the sentence.,학교/문구,,수업,3,1
rectangle,rectangle,명사,직사각형,The door is a rectangle.,모양,,도형,2,1
oval,oval,명사,타원형,The mirror is an oval.,모양,,도형,3,1
diamond,diamond,명사,"마름모, 다이아몬드",The kite is a diamond.,모양,,도형,3,1
pentagon,pentagon,명사,오각형,A pentagon has five sides.,모양,,도형,4,1
hexagon,hexagon,명사,육각형,A hexagon has six sides.,모양,,도형,4,1
octagon,octagon,명사,팔각형,A stop sign is an octagon.,모양,,도형,4,1
dot,dot,명사,점,Draw a dot.,모양,,선·모양,2,1
curve,curve,명사,곡선,The road has a curve.,모양,,선·모양,3,1
flat,flat,형용사,평평한,The table is flat.,모양,,선·모양,3,1
bottom,bottom,명사,"맨 아래, 바닥",Look at the bottom of the page.,모양,,선·모양,2,1
football,football,명사,"축구, 미식축구",He plays football.,스포츠,,구기 종목,2,1
baseball,baseball,명사,야구,I play baseball.,스포츠,,구기 종목,1,1
basketball,basketball,명사,농구,I play basketball.,스포츠,,구기 종목,1,1
volleyball,volleyball,명사,배구,We play volleyball.,스포츠,,구기 종목,1,1
badminton,badminton,명사,배드민턴,We play badminton.,스포츠,,구기 종목,2,1
table-tennis,table tennis,명사,탁구,I play table tennis.,스포츠,,구기 종목,2,1
golf,golf,명사,골프,Dad plays golf.,스포츠,,구기 종목,2,1
bowling,bowling,명사,볼링,We go bowling.,스포츠,,구기 종목,2,1
swimming,swimming,명사,수영,I like swimming.,스포츠,,운동 활동,1,1
running,running,명사,달리기,Running is fun.,스포츠,,운동 활동,1,1
jogging,jogging,명사,조깅,I go jogging.,스포츠,,운동 활동,2,1
cycling,cycling,명사,자전거 타기,Cycling is fun.,스포츠,,운동 활동,2,1
skating,skating,명사,스케이트 타기,I like skating.,스포츠,,운동 활동,2,1
skiing,skiing,명사,스키 타기,We go skiing in winter.,스포츠,,운동 활동,2,1
snowboarding,snowboarding,명사,스노보드 타기,Snowboarding is exciting.,스포츠,,운동 활동,3,1
surfing,surfing,명사,서핑,Surfing is fun.,스포츠,,운동 활동,3,1
boxing,boxing,명사,권투,He likes boxing.,스포츠,,무술·개인 종목,3,1
wrestling,wrestling,명사,레슬링,Wrestling is a strong sport.,스포츠,,무술·개인 종목,3,1
gymnastics,gymnastics,명사,체조,She does gymnastics.,스포츠,,무술·개인 종목,3,1
taekwondo,taekwondo,명사,태권도,I learn taekwondo.,스포츠,,무술·개인 종목,2,1
karate,karate,명사,가라테,He learns karate.,스포츠,,무술·개인 종목,3,1
yoga,yoga,명사,요가,Mom does yoga.,스포츠,,무술·개인 종목,3,1
player,player,명사,"선수, 경기자",He is a good player.,스포츠,,경기 용어,2,1
coach,coach,명사,"코치, 감독",The coach is kind.,스포츠,,경기 용어,3,1
bat,bat,명사,야구 방망이,He has a baseball bat.,스포츠,,경기 용어,2,1
racket,racket,명사,라켓,I hold a racket.,스포츠,,경기 용어,3,1
goal,goal,명사,"골, 목표",He scores a goal.,스포츠,,경기 용어,2,1
race,race,명사,"경주, 달리기 시합",I win the race.,스포츠,,경기 용어,2,1
match,match,명사,"경기, 시합",We win the match.,스포츠,,경기 용어,3,1
huge,huge,형용사,거대한,The whale is huge.,크기,,,3,1
giant,giant,형용사,아주 큰,The giant tree is old.,크기,,,3,1
tiny,tiny,형용사,아주 작은,The ant is tiny.,크기,,,3,1
shallow,shallow,형용사,얕은,The pond is shallow.,크기,,,4,1
different,different,형용사,다른,We are different.,크기,상태,,2,1
bigger,bigger,형용사,더 큰,A lion is bigger than a cat.,크기,,,2,1
smaller,smaller,형용사,더 작은,A mouse is smaller than a cat.,크기,,,2,1
taller,taller,형용사,더 키가 큰,He is taller than me.,크기,,,2,1
shorter,shorter,형용사,"더 짧은, 더 키가 작은",My hair is shorter now.,크기,,,2,1
longer,longer,형용사,더 긴,The river is longer than the road.,크기,,,3,1
heavier,heavier,형용사,더 무거운,The rock is heavier than the ball.,크기,,,3,1
lighter,lighter,형용사,더 가벼운,The feather is lighter than a coin.,크기,,,3,1
height,height,명사,"키, 높이",What is your height?,크기,,,3,1
length,length,명사,길이,Measure the length.,크기,,,3,1
weight,weight,명사,무게,What is your weight?,크기,,,3,1
universe,universe,명사,우주,The universe is big.,우주,,우주 공간,4,1
galaxy,galaxy,명사,은하,Our galaxy has many stars.,우주,,우주 공간,4,1
solar-system,solar system,명사,태양계,The solar system has eight planets.,우주,,우주 공간,4,1
planet,planet,명사,행성,Earth is a planet.,우주,,행성,3,1
mercury,Mercury,명사,수성,Mercury is near the sun.,우주,,행성,4,1
venus,Venus,명사,금성,Venus is bright.,우주,,행성,4,1
mars,Mars,명사,화성,Mars is red.,우주,,행성,3,1
jupiter,Jupiter,명사,목성,Jupiter is a big planet.,우주,,행성,4,1
saturn,Saturn,명사,토성,Saturn has rings.,우주,,행성,4,1
uranus,Uranus,명사,천왕성,Uranus is a cold planet.,우주,,행성,4,1
neptune,Neptune,명사,해왕성,Neptune is far from the sun.,우주,,행성,4,1
comet,comet,명사,혜성,A comet has a long tail.,우주,,천체·현상,4,1
asteroid,asteroid,명사,소행성,An asteroid is a small rock.,우주,,천체·현상,4,1
meteor,meteor,명사,유성,I see a meteor at night.,우주,,천체·현상,4,1
gravity,gravity,명사,중력,Gravity pulls things down.,우주,,천체·현상,4,1
spaceship,spaceship,명사,우주선,The spaceship flies to Mars.,우주,,우주 탐사,2,1
astronaut,astronaut,명사,우주 비행사,The astronaut is in space.,우주,,우주 탐사,3,1
alien,alien,명사,외계인,The alien is green.,우주,,우주 탐사,3,1
satellite,satellite,명사,인공위성,A satellite goes around Earth.,우주,,우주 탐사,4,1
telescope,telescope,명사,망원경,I see stars with a telescope.,우주,,우주 탐사,3,1
teddy-bear,teddy bear,명사,곰 인형,I hug my teddy bear.,장난감,,인형·장난감,1,1
stuffed-animal,stuffed animal,명사,동물 인형,I have a stuffed animal.,장난감,,인형·장난감,2,1
puppet,puppet,명사,"꼭두각시, 손인형",The puppet is funny.,장난감,,인형·장난감,3,1
toy-car,toy car,명사,장난감 자동차,I have a toy car.,장난감,,인형·장난감,1,1
airplane,airplane,명사,비행기,The airplane flies high.,장난감,교통,인형·장난감,1,1
helicopter,helicopter,명사,헬리콥터,The helicopter is loud.,장난감,교통,인형·장난감,2,1
block,block,명사,"블록, 덩어리",I stack a block.,장난감,,만들기·놀이,1,1
blocks,blocks,명사,"블록들, 쌓기 나무",I play with blocks.,장난감,,만들기·놀이,1,1
lego,lego,명사,레고,I build with Lego.,장난감,,만들기·놀이,2,1
kite,kite,명사,연,I fly a kite.,장난감,,만들기·놀이,1,1
yo-yo,yo-yo,명사,요요,I play with a yo-yo.,장난감,,만들기·놀이,2,1
marble,marble,명사,구슬,I have a blue marble.,장난감,,만들기·놀이,2,1
spinning-top,spinning top,명사,팽이,I spin the spinning top.,장난감,,만들기·놀이,3,1
dice,dice,명사,주사위,Roll the dice.,장난감,,만들기·놀이,2,1
jump-rope,jump rope,명사,줄넘기 줄,I jump rope every day.,장난감,,탈 것·운동 도구,2,1
hula-hoop,hula hoop,명사,훌라후프,I spin a hula hoop.,장난감,,탈 것·운동 도구,3,1
scooter,scooter,명사,킥보드,I ride a scooter.,장난감,교통,탈 것·운동 도구,2,1
bike,bike,명사,자전거,I ride my bike.,장난감,교통,탈 것·운동 도구,1,1
skateboard,skateboard,명사,스케이트보드,He rides a skateboard.,장난감,,탈 것·운동 도구,3,1
transportation,transportation,명사,"교통, 교통수단",A bus is transportation.,교통,,탈 것,4,1
van,van,명사,승합차,We go by van.,교통,,탈 것,2,1
motorcycle,motorcycle,명사,오토바이,He rides a motorcycle.,교통,,탈 것,3,1
ferry,ferry,명사,여객선,We take a ferry.,교통,,탈 것,3,1
ambulance,ambulance,명사,구급차,The ambulance is fast.,교통,,특수 차량,2,1
police-car,police car,명사,경찰차,The police car is loud.,교통,,특수 차량,2,1
fire-engine,fire engine,명사,소방차,The fire engine is red.,교통,,특수 차량,2,1
school-bus,school bus,명사,통학 버스,I take the school bus.,교통,,특수 차량,2,1
traffic-light,traffic light,명사,신호등,Stop at the traffic light.,교통,,길·규칙,2,1
crosswalk,crosswalk,명사,횡단보도,Use the crosswalk.,교통,,길·규칙,3,1
passenger,passenger,명사,승객,The passenger gets on the bus.,교통,,사람,3,1
driver,driver,명사,운전사,The driver is kind.,교통,직업,사람,2,1
sail,sail,동사,항해하다,We sail on the sea.,교통,,탈 것,4,1
technology,technology,명사,기술,Technology is helpful.,과학기술,,기기,4,1
laptop,laptop,명사,노트북 컴퓨터,I use a laptop.,과학기술,,기기,2,1
smartphone,smartphone,명사,스마트폰,Mom has a smartphone.,과학기술,,기기,2,1
phone,phone,명사,전화기,The phone is ringing.,과학기술,,기기,1,1
machine,machine,명사,기계,This machine is loud.,과학기술,,기기,3,1
screen,screen,명사,화면,The screen is bright.,과학기술,,기기,3,1
printer,printer,명사,프린터,The printer is broken.,과학기술,,기기,3,1
speaker,speaker,명사,스피커,The speaker is loud.,과학기술,,기기,3,1
headphone,headphone,명사,헤드폰,I use headphones.,과학기술,,기기,3,1
earphone,earphone,명사,이어폰,I use earphones.,과학기술,,기기,3,1
charger,charger,명사,충전기,I need a charger.,과학기술,,기기,3,1
battery,battery,명사,"건전지, 배터리",The battery is low.,과학기술,,기기,3,1
internet,internet,명사,인터넷,I use the internet.,과학기술,,인터넷,3,1
website,website,명사,웹사이트,This website is fun.,과학기술,,인터넷,3,1
app,app,명사,앱,I have a new app.,과학기술,,인터넷,2,1
message,message,명사,메시지,I send a message.,과학기술,,인터넷,2,1
email,email,명사,이메일,I send an email.,과학기술,,인터넷,3,1
password,password,명사,비밀번호,Do not tell your password.,과학기술,,인터넷,3,1
click,click,동사,클릭하다,Click the button.,과학기술,,컴퓨터 동작,2,1
type,type,동사,(글자를) 입력하다,Type your name.,과학기술,,컴퓨터 동작,2,1
download,download,동사,내려받다,I download a game.,과학기술,,컴퓨터 동작,3,1
upload,upload,동사,올리다,I upload a photo.,과학기술,,컴퓨터 동작,4,1
delete,delete,동사,지우다,Delete the file.,과학기술,,컴퓨터 동작,3,1
turn-on,turn on,숙어,(전원을) 켜다,Turn on the light.,과학기술,,컴퓨터 동작,2,1
turn-off,turn off,숙어,(전원을) 끄다,Turn off the TV.,과학기술,,컴퓨터 동작,2,1
ugly,ugly,형용사,"못생긴, 보기 흉한",The monster is ugly.,상태,,모습·느낌,2,1
shiny,shiny,형용사,반짝이는,The coin is shiny.,상태,,모습·느낌,3,1
smooth,smooth,형용사,매끄러운,The stone is smooth.,상태,맛/질감,모습·느낌,3,1
rough,rough,형용사,거친,The wall is rough.,상태,맛/질감,모습·느낌,3,1
smart,smart,형용사,똑똑한,She is smart.,상태,성격,평가,2,1
clever,clever,형용사,영리한,The fox is clever.,상태,성격,평가,3,1
difficult,difficult,형용사,어려운,This question is difficult.,상태,,평가,2,1
dangerous,dangerous,형용사,위험한,Fire is dangerous.,상태,,평가,3,1
special,special,형용사,특별한,Today is a special day.,상태,,평가,2,1
important,important,형용사,중요한,It is important.,상태,,평가,2,1
careful,careful,형용사,조심하는,Be careful.,상태,성격,평가,2,1
useful,useful,형용사,유용한,A map is useful.,상태,,평가,3,1
light-2,light,형용사,가벼운,The bag is light.,상태,,모습·느낌,2,2
above,above,전치사,~보다 위에,The bird is above the tree.,위치/방향,,,2,1
next-to,next to,전치사,~ 옆에,I sit next to Ben.,위치/방향,,,1,1
in-front-of,in front of,전치사,~ 앞에,The dog is in front of the door.,위치/방향,,,2,1
inside,inside,부사,안에,Come inside.,위치/방향,,,2,1
outside,outside,부사,밖에,Let us play outside.,위치/방향,,,2,1
forward,forward,부사,앞으로,Move forward.,위치/방향,,,3,1
backward,backward,부사,뒤로,Step backward.,위치/방향,,,3,1
whose,whose,대명사,누구의,Whose bag is this?,의문사,,,3,1
how-many,how many,표현,몇 개,How many apples do you have?,의문사,,,2,1
how-much,how much,표현,"얼마, 얼마나 많이",How much is it?,의문사,,,2,1
how-old,how old,표현,몇 살,How old are you?,의문사,,,1,1
how-long,how long,표현,"얼마나 오래, 얼마나 긴",How long is the river?,의문사,,,3,1
how-often,how often,표현,얼마나 자주,How often do you exercise?,의문사,,,3,1
what-time,what time,표현,몇 시,What time is it?,의문사,,,1,1
what-color,what color,표현,무슨 색,What color is your bag?,의문사,,,1,1
what-kind,what kind,표현,어떤 종류,What kind of food do you like?,의문사,,,2,1
helpful,helpful,형용사,도움이 되는,She is helpful.,성격,,,2,1
active,active,형용사,활동적인,He is an active boy.,성격,,,3,1
honest,honest,형용사,정직한,He is honest.,성격,,,3,1
polite,polite,형용사,예의 바른,She is polite.,성격,,,3,1
patient,patient,형용사,참을성 있는,Be patient.,성격,,,3,1
lazy,lazy,형용사,게으른,The cat is lazy.,성격,,,2,1
hardworking,hardworking,형용사,부지런한,My mom is hardworking.,성격,,,3,1
creative,creative,형용사,창의적인,She is creative.,성격,,,3,1
generous,generous,형용사,너그러운,He is generous.,성격,,,4,1
selfish,selfish,형용사,이기적인,Do not be selfish.,성격,,,4,1
sour,sour,형용사,신,The lemon is sour.,맛/질감,상태,맛,2,1
salty,salty,형용사,짠,The soup is salty.,맛/질감,상태,맛,2,1
bitter,bitter,형용사,쓴,Medicine is bitter.,맛/질감,상태,맛,3,1
spicy,spicy,형용사,매운,Kimchi is spicy.,맛/질감,상태,맛,2,1
delicious,delicious,형용사,아주 맛있는,The cake is delicious.,맛/질감,상태,맛,2,1
yummy,yummy,형용사,맛있는,This pizza is yummy.,맛/질감,,맛,1,1
tasty,tasty,형용사,맛있는,The soup is tasty.,맛/질감,,맛,2,1
juicy,juicy,형용사,즙이 많은,The peach is juicy.,맛/질감,,식감,3,1
crunchy,crunchy,형용사,바삭바삭한,The apple is crunchy.,맛/질감,,식감,3,1
crispy,crispy,형용사,바삭한,The chicken is crispy.,맛/질감,,식감,3,1
chewy,chewy,형용사,쫄깃한,The candy is chewy.,맛/질감,,식감,3,1
sticky,sticky,형용사,끈적끈적한,My hands are sticky.,맛/질감,,식감,3,1
dentist,dentist,명사,치과 의사,The dentist checks my teeth.,직업,,의료·과학,2,1
veterinarian,veterinarian,명사,수의사,The veterinarian helps animals.,직업,,의료·과학,4,1
scientist,scientist,명사,과학자,The scientist does an experiment.,직업,,의료·과학,3,1
engineer,engineer,명사,"기술자, 공학자",My dad is an engineer.,직업,,의료·과학,3,1
programmer,programmer,명사,프로그래머,She is a programmer.,직업,,의료·과학,4,1
police-officer,police officer,명사,경찰관,The police officer helps people.,직업,,안전·생활,2,1
firefighter,firefighter,명사,소방관,The firefighter is brave.,직업,,안전·생활,2,1
farmer,farmer,명사,농부,The farmer grows rice.,직업,,안전·생활,1,1
chef,chef,명사,요리사,The chef makes pasta.,직업,,안전·생활,2,1
baker,baker,명사,제빵사,The baker makes bread.,직업,,안전·생활,3,1
flight-attendant,flight attendant,명사,승무원,The flight attendant is kind.,직업,,안전·생활,4,1
artist,artist,명사,"화가, 예술가",The artist paints a picture.,직업,,예술·방송,2,1
singer,singer,명사,가수,She is a singer.,직업,,예술·방송,1,1
dancer,dancer,명사,무용수,He is a dancer.,직업,,예술·방송,2,1
actor,actor,명사,배우,He is an actor.,직업,,예술·방송,2,1
writer,writer,명사,작가,She is a writer.,직업,,예술·방송,2,1
photographer,photographer,명사,사진작가,The photographer takes photos.,직업,,예술·방송,3,1
