"번호","과정","레벨","단계","학년","id","문법 이름","문장 틀","한 줄 설명","예문 1","예문 2","예문 3","예문 4","예문 5","예문 6","예문 7","예문 8","이럴 때 써요","쉽게 이해하기","예문 해석","규칙","틀리기 쉬운 것 (✗ → ✓)","한 줄 정리","단어장 바꾸기 틀","넣을 카테고리","검수 메모"
"33","초등","3 Connect & Describe","grow","초5","want-to","want to / would like to","I want to [ ]. / I'd like to [ ].","하고 싶은 일은 want to + 동사로 말해요.","I want to fly.","I'd like to see a movie.","Do you want to play?","I want to eat ice cream.","She wants to be a doctor.","","","","하고 싶은 일을 말할 때
장래 희망을 말할 때","want to + 동사 = ~하고 싶다
I'd like to …는 더 공손한 말이에요.
장래 희망: I want to be a doctor.","1. 나는 날고 싶어.
2. 나는 영화를 보고 싶어요. (공손한 말)
3. 너 놀고 싶어?
4. 나는 아이스크림을 먹고 싶어.
5. 그녀는 의사가 되고 싶어 해.","want to + 동사원형
I'd like to + 동사원형 (공손)","✗ I want fly. → ✓ I want to fly. (하고 싶은 일 앞에는 to)","갖고 싶으면 want, 하고 싶으면 want to!","I want to {verb}.","동작, 취미/오락, 스포츠",""
"34","초등","3 Connect & Describe","bridge","초5","have-to-should","have to / should","I have to [ ]. / You should [ ].","꼭 해야 하는 일은 have to, 하면 좋은 일은 should.","I have to do my homework.","You should drink water.","You should go to bed.","We have to clean the room.","You should wash your hands.","","","","꼭 해야 하는 일을 말할 때(have to)
친구에게 충고할 때(should)","have to = 꼭 ~해야 해 (안 하면 안 돼요)
should = ~하는 게 좋겠어 (충고)
둘 다 뒤에 동사를 그대로 써요.","1. 나는 숙제를 해야 해.
2. 너 물을 마시는 게 좋겠어.
3. 너 자러 가는 게 좋겠어.
4. 우리는 방을 청소해야 해.
5. 손을 씻는 게 좋겠어.","have to + 동사원형 (꼭 해야 함)
should + 동사원형 (충고)","✗ You should drinks water. → ✓ You should drink water. (should 뒤에는 동사원형)","꼭 해야 하면 have to, 하면 좋으면 should!","You should {verb}.","일상생활, 동작",""
"35","초등","4 Tell & Explain","entry","초5","past-be","과거 be동사 (was / were)","I was [ ]. / They were [ ].","지난 일은 am, is → was, are → were로 바꿔요.","I was sick yesterday.","It was fun.","We were at the park.","She was happy.","They were tired.","","","","어제나 전에 어땠는지 말할 때","am, is의 과거는 was, are의 과거는 were예요.
I, he, she, it → was / you, we, they → were
yesterday(어제), last week(지난주)와 자주 써요.","1. 나는 어제 아팠어.
2. 재미있었어.
3. 우리는 공원에 있었어.
4. 그녀는 행복했어.
5. 그들은 피곤했어.","I · he · she · it + was
you · we · they + were","✗ We was at the park. → ✓ We were at the park. (we는 were)","지난 일이면 is → was, are → were!","I was {adj} yesterday.","감정, 상태",""
"36","초등","4 Tell & Explain","entry","초5","past-regular","과거형 규칙 동사 (-ed)","I [ ]ed yesterday.","지난 일은 동사 끝에 -ed를 붙여요.","I played soccer.","She watched TV.","We walked to school.","I cleaned my room.","He jumped high.","","","","이미 한 일을 말할 때 (어제, 지난주)","동사 끝에 -ed를 붙이면 과거가 돼요: play → played
e로 끝나면 -d만: dance → danced
자음 + y는 y를 i로: study → studied","1. 나는 축구를 했어.
2. 그녀는 TV를 봤어.
3. 우리는 걸어서 학교에 갔어.
4. 나는 내 방을 청소했어.
5. 그는 높이 뛰었어.","동사 + -ed
e로 끝나면 + -d · 자음 + y → -ied","✗ I play soccer yesterday. → ✓ I played soccer yesterday. (어제 한 일은 -ed)","지난 일은 꼬리에 -ed!","I {verb_ed} yesterday.","동작, 취미/오락, 일상생활",""
"37","초등","4 Tell & Explain","grow","초5","past-irregular","과거형 불규칙 동사 (went / ate / saw)","I went to the [ ].","모양이 바뀌는 동사는 따로 외워요. go → went, eat → ate, see → saw.","I went to the zoo.","I ate a sandwich.","I saw a rainbow.","She had a party.","We made a cake.","","","","이미 한 일을 말할 때 — 모양이 확 바뀌는 동사","-ed를 붙이지 않고 모양이 바뀌는 동사가 있어요.
go → went, eat → ate, see → saw, have → had, make → made
노래나 챈트로 짝지어 외우면 쉬워요.","1. 나는 동물원에 갔어. (go → went)
2. 나는 샌드위치를 먹었어. (eat → ate)
3. 나는 무지개를 봤어. (see → saw)
4. 그녀는 파티를 했어. (have → had)
5. 우리는 케이크를 만들었어. (make → made)","go–went · eat–ate · see–saw · have–had · make–made","✗ I goed to the zoo. → ✓ I went to the zoo. (go의 과거는 went)","불규칙 동사는 짝꿍으로 외워요: go–went!","(바꾸기 안 함)","",""
"38","초등","4 Tell & Explain","grow","초6","did-you","Did you ~? — Yes, I did.","Did you [ ]? — Yes, I did. / No, I didn't.","지난 일을 물을 땐 Did로 시작하고, 동사는 그대로 써요.","Did you eat lunch?","Yes, I did.","I didn't go out.","Did you play soccer?","No, I didn't.","","","","""~했어?""라고 지난 일을 물을 때","지난 일을 물을 때는 Did you …?로 시작해요.
Did가 과거를 가져가서 뒤의 동사는 그대로 써요.
대답: Yes, I did. / No, I didn't.","1. 점심 먹었어?
2. 응, 먹었어.
3. 나는 밖에 안 나갔어.
4. 축구 했어?
5. 아니, 안 했어.","Did you + 동사원형 …?
→ Yes, I did. / No, I didn't.","✗ Did you ate lunch? → ✓ Did you eat lunch? (Did 뒤에는 동사원형)","Did가 과거를 가져가요. 뒤 동사는 맨몸으로!","Did you {verb} yesterday?","동작, 취미/오락, 일상생활",""
"39","초등","4 Tell & Explain","grow","초6","future","미래 (will / be going to)","I will [ ]. / I'm going to [ ].","앞으로 할 일은 will이나 be going to + 동사로 말해요.","I will help you.","I'm going to visit Grandma.","Will it rain tomorrow?","I will call you.","We're going to play soccer.","","","","앞으로 할 일을 말할 때
약속하거나 계획을 말할 때","will + 동사 = ~할 거야 (약속, 지금 정한 일)
be going to + 동사 = ~할 예정이야 (미리 정한 계획)
둘 다 뒤에 동사를 그대로 써요.","1. 내가 도와줄게.
2. 나는 할머니 댁에 갈 거야. (계획)
3. 내일 비가 올까?
4. 내가 전화할게.
5. 우리는 축구를 할 거야.","will + 동사원형
am/is/are going to + 동사원형","✗ I will helps you. → ✓ I will help you. (will 뒤에는 동사원형)","앞으로의 일은 will 또는 be going to!","I'm going to {verb} tomorrow.","동작, 취미/오락, 일상생활",""
"40","초등","4 Tell & Explain","grow","초6","comparative","비교급 (-er than)","A [ ] is bigger than a [ ].","둘을 비교할 땐 -er than을 써요.","An elephant is bigger than a dog.","I am taller than my brother.","A car is faster than a bike.","A cat is smaller than a dog.","Summer is hotter than spring.","","","","두 개를 비교할 때","짧은 형용사에 -er을 붙이고 than(~보다)을 써요: bigger than
big → bigger, hot → hotter처럼 끝 글자를 한 번 더 쓰는 단어도 있어요.
A is bigger than B = A가 B보다 더 커","1. 코끼리는 개보다 커.
2. 나는 우리 형보다 키가 커.
3. 자동차는 자전거보다 빨라.
4. 고양이는 개보다 작아.
5. 여름은 봄보다 더워.","형용사 + -er + than","✗ An elephant is big than a dog. → ✓ An elephant is bigger than a dog. (비교할 때는 -er)","둘을 비교하면 -er + than!","(바꾸기 안 함)","",""
"41","초등","4 Tell & Explain","bridge","초6","superlative","최상급 (the -est)","[ ] is the tallest.","셋 이상 중에 가장 ~한 것은 the -est로 말해요.","The giraffe is the tallest.","Mina is the fastest in my class.","This is the biggest box.","The whale is the biggest.","Winter is the coldest season.","","","","여러 개 중에서 ""가장 ~한"" 것을 말할 때","the + 형용사-est = 가장 ~한
big → biggest, tall → tallest
""우리 반에서""는 in my class를 붙여요.","1. 기린이 가장 키가 커.
2. 미나가 우리 반에서 가장 빨라.
3. 이게 가장 큰 상자야.
4. 고래가 가장 커.
5. 겨울이 가장 추운 계절이야.","the + 형용사-est","✗ Mina is fastest in my class. → ✓ Mina is the fastest in my class. (가장 ~한 앞에는 the)","셋 이상에서 1등은 the -est!","(바꾸기 안 함)","",""
"42","초등","4 Tell & Explain","bridge","초6","sequence","순서대로 말하기 (First / Then / Finally)","First, … Then, … Next, … Finally, …","일이 일어난 순서를 차례대로 이어 말해요.","First, I wash my hands.","Then, I eat breakfast.","Next, I brush my teeth.","Finally, I go to school.","","","","","일의 순서를 차례대로 말할 때
하루 일과나 만드는 방법을 설명할 때","First(먼저) → Then(그다음) → Next(그다음) → Finally(마지막으로)
각 순서말 뒤에 쉼표(,)를 찍어요.
카드를 섞어 놓고 순서대로 놓아 보는 활동과 잘 어울려요.","1. 먼저, 손을 씻어.
2. 그다음, 아침을 먹어.
3. 그다음, 이를 닦아.
4. 마지막으로, 학교에 가.","First, … → Then, … → Next, … → Finally, …","","순서말만 앞에 붙이면 이야기가 줄줄 이어져요.","(바꾸기 안 함)","",""
"43","초등","4 Tell & Explain","bridge","초6","i-think","의견 말하기 (I think ~)","I think [ ] is [ ].","내 생각을 말할 때 I think로 시작해요.","I think math is fun.","I think dogs are cute.","I think it's a good idea.","I think she is kind.","I don't think so.","","","","내 생각이나 의견을 말할 때","I think + 문장 = 나는 ~라고 생각해
반대 생각은 I don't think so. (나는 그렇게 생각하지 않아)
친구에게 물을 때: What do you think?","1. 나는 수학이 재미있다고 생각해.
2. 나는 개가 귀엽다고 생각해.
3. 좋은 생각인 것 같아.
4. 나는 그녀가 친절하다고 생각해.
5. 나는 그렇게 생각하지 않아.","I think + 주어 + 동사 …","✗ I think is fun math. → ✓ I think math is fun. (I think 뒤에는 문장 순서 그대로)","내 생각을 말할 땐 I think로 시작!","I think {nouns} are cute.","동물",""
"44","중등","중1","entry","중1","m-pronoun-case","인칭대명사의 격 (I–my–me–mine)","She likes him. / This is her book. / It's hers.","같은 사람이라도 문장 속 자리에 따라 모양이 바뀌어요.","He helps me every day.","Their house is very big.","This bag is mine.","Can you call her now?","We love our teacher.","","","","사람·사물을 반복하지 않고 가리킬 때
""누구의"", ""누구를"", ""누구의 것""을 구별해 말할 때","문장 맨 앞(주어 자리)에는 주격: I, he, she …
명사 앞에서 ""~의""는 소유격: my, his, her …
동사·전치사 뒤(목적어 자리)에는 목적격: me, him, her …
명사 없이 ""~의 것""은 소유대명사: mine, yours, hers …","1. 그는 매일 나를 도와준다. (He: 주격, me: 목적격)
2. 그들의 집은 아주 크다. (Their: 소유격)
3. 이 가방은 내 거야. (mine = my bag)
4. 지금 그녀에게 전화할 수 있어? (her: 목적격)
5. 우리는 우리 선생님을 사랑해.","주격(~은/는): I · you · he · she · it · we · they
소유격(~의): my · your · his · her · its · our · their
목적격(~을/를): me · you · him · her · it · us · them
소유대명사(~의 것): mine · yours · his · hers · ours · theirs","✗ This is me bag. → ✓ This is my bag. (명사 앞에는 소유격)
✗ He likes she. → ✓ He likes her. (동사 뒤에는 목적격)","자리를 먼저 보세요: 맨 앞 → 주격, 명사 앞 → 소유격, 동사 뒤 → 목적격.","(바꾸기 안 함)","",""
"45","중등","중1","entry","중1","m-present-vs-progressive","현재시제 vs 현재진행","I play soccer every day. / I am playing soccer now.","늘 하는 일은 현재시제, 지금 하고 있는 일은 현재진행으로 말해요.","She walks to school every day.","Look! She is walking to school now.","The sun rises in the east.","They are watching a movie now.","I know the answer.","","","","평소 습관·사실(현재)과 지금 하는 중인 일(현재진행)을 구별할 때","현재: every day, usually와 어울려요. ""원래·늘 그래""
현재진행: now, Look!과 어울려요. ""지금 ~하는 중""
know, like, want, have(가지다)처럼 ""상태""를 나타내는 동사는 진행형으로 거의 안 써요.","1. 그녀는 매일 걸어서 학교에 간다. (습관)
2. 봐! 그녀가 지금 걸어서 학교에 가고 있어. (지금 진행)
3. 해는 동쪽에서 뜬다. (변하지 않는 사실)
4. 그들은 지금 영화를 보고 있다.
5. 나는 답을 알아. (know는 진행형 ✗)","습관·사실 → 현재시제 (3인칭 단수는 -s)
지금 진행 중 → am/is/are + 동사ing
know, like, want, have(가지다)는 진행형으로 잘 안 써요","✗ I am knowing the answer. → ✓ I know the answer. (know는 상태 동사라 진행형으로 안 써요)
✗ He play soccer every day. → ✓ He plays soccer every day. (3인칭 단수 현재는 -s)","""늘""이면 현재, ""지금""이면 현재진행!","I'm {verb_ing} now.","동작, 취미/오락, 일상생활, 스포츠",""
"46","중등","중1","entry","중1","m-past","과거시제 (규칙·불규칙, 부정·의문)","I went there yesterday. / I didn't go. / Did you go?","지난 일은 과거형으로 말하고, 부정·의문은 did를 써요.","We took a lot of pictures.","She bought a new jacket last week.","I didn't go to school yesterday.","Did you finish your homework?","He came home late last night.","","","","이미 끝난 일을 말할 때 — 어제, 지난주, 몇 년 전","규칙 동사는 -ed, 불규칙 동사는 따로 외워요.
부정문·의문문에서는 did가 과거를 맡고 동사는 원형으로 돌아가요.
yesterday, last ~, ~ ago, in 2020 같은 말이 과거의 신호예요.","1. 우리는 사진을 많이 찍었다. (take → took)
2. 그녀는 지난주에 새 재킷을 샀다. (buy → bought)
3. 나는 어제 학교에 안 갔다.
4. 너 숙제 끝냈어?
5. 그는 어젯밤 늦게 집에 왔다. (come → came)","규칙: 동사 + -ed (played, studied, stopped)
불규칙: go–went, see–saw, buy–bought, take–took, make–made
부정: didn't + 동사원형
의문: Did + 주어 + 동사원형 ~?","✗ I didn't went there. → ✓ I didn't go there. (didn't 뒤에는 동사원형)
✗ Did you saw it? → ✓ Did you see it? (Did 의문문도 동사원형)","did가 나오면 뒤 동사는 무조건 원형!","(바꾸기 안 함)","",""
"47","중등","중1","grow","중1","m-modals","조동사 can / may / must / should","You must wear a helmet. / May I come in?","조동사는 동사 앞에서 능력·허락·의무·충고의 뜻을 더해요.","May I use your pen?","You must be quiet in the library.","She can speak three languages.","You should see a doctor.","It may rain this afternoon.","","","","능력·허락·의무·충고·추측을 동사에 더할 때","can: ~할 수 있다 / ~해도 된다
may: ~해도 될까요? (공손) / ~일지도 모른다
must: ~해야 한다 (강한 의무)
should: ~하는 게 좋겠다 (충고)
조동사 뒤에는 늘 동사원형이 와요.","1. 펜 좀 써도 될까요? (허락)
2. 도서관에서는 조용히 해야 한다. (의무)
3. 그녀는 3개 국어를 할 수 있다. (능력)
4. 너 병원에 가 보는 게 좋겠어. (충고)
5. 오늘 오후에 비가 올지도 몰라. (추측)","조동사 + 동사원형
can 능력·허락 · may 허락·추측 · must 의무 · should 충고
부정: can't · may not · must not · shouldn't","✗ She can speaks English. → ✓ She can speak English. (조동사 뒤에는 동사원형)
✗ You must not to run here. → ✓ You must not run here. (조동사 뒤에는 to 없이)","조동사 + 동사원형, 이 공식 하나면 끝!","You can {verb} here.","동작, 취미/오락, 일상생활, 스포츠",""
"48","중등","중1","grow","중1","m-exclamation","감탄문 (What a ~! / How ~!)","What a [ ] [ ]! / How [ ]!","놀라거나 감탄할 때 What이나 How로 시작해요.","What a beautiful day!","How cute your puppy is!","What a big house it is!","How fast he runs!","What nice shoes!","","","","놀람·감동을 크게 표현할 때","명사가 있으면 What: What a beautiful day!
명사 없이 형용사·부사만 있으면 How: How fast he runs!
뒤의 ""주어 + 동사""는 생략할 수 있어요.","1. 정말 아름다운 날이다!
2. 네 강아지 정말 귀엽다!
3. 정말 큰 집이구나!
4. 그는 정말 빨리 달린다!
5. 신발 정말 멋지다!","What + (a/an) + 형용사 + 명사 (+ 주어 + 동사)!
How + 형용사/부사 (+ 주어 + 동사)!","✗ How a beautiful day! → ✓ What a beautiful day! (명사가 있으면 What)","명사가 보이면 What, 안 보이면 How!","What {a_adj} {noun}!","색깔, 크기, 동물, 사물",""
"49","중등","중1","grow","중1","m-it-impersonal","비인칭 주어 it","It is [ ]. (시간·날씨·요일·거리)","시간·날씨·요일·거리를 말할 때 주어로 it을 써요. ""그것""이라고 해석하지 않아요.","It is seven thirty.","It's very cold outside.","It is Sunday today.","It is two kilometers from here.","It is getting dark.","","","","시간·날씨·요일·거리·밝기를 말할 때","영어 문장에는 주어가 꼭 필요해요. 그래서 뜻 없는 it을 주어로 세워요.
이 it은 ""그것""이라고 해석하지 않아요.
It is getting dark. = 어두워지고 있다","1. 7시 30분이야. (시간)
2. 밖이 정말 추워. (날씨)
3. 오늘은 일요일이야. (요일)
4. 여기서 2킬로미터야. (거리)
5. 어두워지고 있어. (밝기)","시간: It is seven thirty.
날씨: It's cold. / It's raining.
요일·날짜·거리·명암도 it","✗ Is raining now. → ✓ It is raining now. (영어 문장은 주어가 꼭 필요해요)","시간·날씨·요일·거리는 It으로 시작!","(바꾸기 안 함)","",""
"50","중등","중1","grow","중1","m-to-inf-noun","to부정사 (명사처럼: ~하는 것)","I want to [ ]. / My dream is to [ ].","to + 동사원형은 ""~하는 것""이라는 뜻으로 명사처럼 쓰여요.","I hope to visit Paris someday.","She decided to join the club.","My dream is to be a pilot.","We need to save water.","He plans to learn Chinese.","","","","""~하는 것""을 주어·목적어·보어로 쓸 때
바람·계획·결심을 말할 때 (want, hope, plan, decide + to)","to + 동사원형을 ""~하는 것""으로 해석해요.
My dream is to be a pilot. → 내 꿈은 조종사가 되는 것이다
want/hope/plan/decide/need 뒤에는 to부정사가 와요.","1. 나는 언젠가 파리에 가 보길 바란다.
2. 그녀는 동아리에 들기로 결심했다.
3. 내 꿈은 조종사가 되는 것이다. (보어)
4. 우리는 물을 아껴야 한다.
5. 그는 중국어를 배울 계획이다.","to + 동사원형
want · hope · plan · decide · need + to부정사
주어·목적어·보어 자리에 와요","✗ I want going home. → ✓ I want to go home. (want는 to부정사를 목적어로)
✗ She decided to joined. → ✓ She decided to join. (to 뒤에는 동사원형)","""to + 동사원형 = ~하는 것""부터 떠올리세요.","I hope to {verb} this weekend.","동작, 취미/오락, 일상생활, 스포츠",""
"51","중등","중1","grow","중1","m-gerund","동명사 (~ing: ~하는 것)","I enjoy [ ]ing. / [ ]ing is fun.","동사에 -ing를 붙여 ""~하는 것""이라는 명사로 써요.","I enjoy playing the piano.","Reading books is my hobby.","He finished cleaning his room.","Stop talking, please.","She kept smiling all day.","","","","""~하는 것""을 명사로 쓸 때 (특히 취미·즐기는 일)
enjoy, finish, stop, keep 뒤에서","동사 + -ing가 명사 역할을 하면 동명사예요.
주어로 쓰면 단수 취급: Reading books is fun.
enjoy/finish/stop/keep 뒤에는 동명사만 와요.","1. 나는 피아노 치는 걸 즐긴다.
2. 책 읽기는 내 취미다. (주어 → is)
3. 그는 방 청소를 끝냈다.
4. 떠드는 거 그만해 줘.
5. 그녀는 하루 종일 계속 웃었다.","동사원형 + -ing
enjoy · finish · stop · keep · mind + 동명사
주어 자리: Swimming is fun.","✗ I enjoy to play games. → ✓ I enjoy playing games. (enjoy는 동명사만)
✗ Swim is fun. → ✓ Swimming is fun. (주어 자리에는 동명사)","enjoy · finish · stop · keep 뒤에는 -ing!","I enjoy {verb_ing}. / {verb_ing} is fun.","동작, 취미/오락, 일상생활, 스포츠",""
"52","중등","중1","grow","중1","m-dative","수여동사 (give me a book)","He gave me a gift. = He gave a gift to me.","""누구에게 무엇을"" 주는 동사는 사람과 물건을 함께 써요.","My mom made me a cake.","Can you show me your picture?","He sent a letter to his grandma.","I bought a present for my sister.","Ms. Kim teaches us English.","","","","누군가에게 무엇을 주거나 해 줄 때","동사 + 사람(~에게) + 물건(~을) 순서가 기본이에요.
물건을 앞으로 보내면 사람 앞에 to나 for를 붙여요.
to: give, send, show, teach / for: make, buy, cook","1. 엄마가 나에게 케이크를 만들어 주셨다.
2. 네 사진 좀 보여 줄래?
3. 그는 할머니께 편지를 보냈다. (send ~ to)
4. 나는 여동생에게 선물을 샀다. (buy ~ for)
5. 김 선생님은 우리에게 영어를 가르치신다.","give · send · show · tell · teach + 사람 + 물건
물건을 앞으로: 물건 + to + 사람
buy · make · cook: 물건 + for + 사람","✗ He gave to me a gift. → ✓ He gave me a gift. (사람이 바로 오면 to 없이)
✗ She made a cake to me. → ✓ She made a cake for me. (make · buy · cook은 for)","""사람 + 물건""이면 전치사 없이, ""물건 + 사람""이면 to/for!","(바꾸기 안 함)","",""
"53","중등","중1","grow","중1","m-linking-verbs","감각동사 + 형용사 (look happy)","You look [ ]. / It smells [ ].","look, sound, smell, taste, feel 뒤에는 형용사가 와요.","You look tired today.","This soup tastes great.","That sounds interesting.","The blanket feels soft.","She looks like her mom.","","","","보이는 모습·들리는 느낌·냄새·맛·촉감을 말할 때","look(~해 보이다), sound(~하게 들리다), smell(~한 냄새가 나다), taste(~한 맛이 나다), feel(~한 느낌이 들다)
뒤에는 형용사가 와요. 해석이 ""~하게""여도 부사는 쓰지 않아요.
명사가 올 때는 like를 붙여요: She looks like her mom.","1. 너 오늘 피곤해 보여.
2. 이 수프 정말 맛있다.
3. 그거 재미있겠다.
4. 담요가 부드럽다.
5. 그녀는 엄마를 닮았다. (look like + 명사)","look · sound · smell · taste · feel + 형용사
""~하게""로 해석돼도 부사가 아니라 형용사
명사가 오면 look like + 명사","✗ You look happily. → ✓ You look happy. (감각동사 뒤에는 형용사)
✗ He looks a movie star. → ✓ He looks like a movie star. (명사가 오면 look like)","감각동사 뒤에는 형용사, 명사면 like!","You look {adj} today.","감정, 상태",""
"54","중등","중1","grow","중1","m-conj-when-if-that","접속사 when / if / that","When I was young, … / If it rains, … / I think that …","두 문장을 이어서 때(when), 조건(if), 생각의 내용(that)을 말해요.","When I got home, my dog was sleeping.","If you are hungry, eat this.","I think that he is honest.","If it rains tomorrow, we will stay home.","I know that you are busy.","","","","두 문장을 이어서 때(when)·조건(if)·생각 내용(that)을 말할 때","when = ~할 때, if = 만약 ~하면, that = ~라는 것
when/if 문장 안에서는 미래라도 현재시제를 써요: If it rains tomorrow, …
think/know/hope 뒤의 that은 자주 생략해요.","1. 내가 집에 왔을 때 우리 개는 자고 있었다.
2. 배고프면 이거 먹어.
3. 나는 그가 정직하다고 생각한다.
4. 내일 비가 오면 우리는 집에 있을 거야.
5. 나는 네가 바쁘다는 걸 알아.","when: ~할 때 · if: 만약 ~하면
때·조건을 말할 때는 미래라도 현재시제: If it rains tomorrow, …
that: ~라는 것 (think · know · hope 뒤, 생략 가능)","✗ If it will rain tomorrow, we will stay home. → ✓ If it rains tomorrow, we will stay home. (조건 부사절은 미래 대신 현재시제)","if · when 문장 속 미래는 현재시제로!","(바꾸기 안 함)","",""
"55","중등","중1","grow","중1","m-comparison","비교급·최상급 (more / most, as ~ as)","[A] is more [ ] than [B]. / [A] is as [ ] as [B].","둘을 비교하면 비교급, 셋 이상에서 가장 ~하면 최상급을 써요.","This book is more interesting than that one.","She is the most popular student in our class.","My bag is as heavy as yours.","Your idea is better than mine.","This is the worst movie ever.","","","","둘을 비교하거나(비교급), 가장 ~한 것을 말할 때(최상급), 같은 정도를 말할 때(as ~ as)","짧은 단어는 -er/-est, 긴 단어(3음절 이상 등)는 more/most
good → better → best, bad → worse → worst는 외워요.
as + 원래 모양 + as = ~만큼 …한","1. 이 책이 저 책보다 더 재미있다.
2. 그녀는 우리 반에서 가장 인기 많은 학생이다.
3. 내 가방은 네 가방만큼 무겁다.
4. 네 생각이 내 생각보다 낫다. (good → better)
5. 이건 최악의 영화야. (bad → worst)","짧은 말: -er / -est (tall – taller – tallest)
긴 말: more / most (beautiful – more beautiful – most beautiful)
불규칙: good – better – best, bad – worse – worst
as + 원급 + as: ~만큼 …한","✗ She is more taller than me. → ✓ She is taller than me. (-er와 more를 같이 쓰지 않아요)
✗ It is gooder than before. → ✓ It is better than before. (good의 비교급은 better)","둘은 -er/more, 셋 이상은 the -est/most!","(바꾸기 안 함)","",""
"56","중등","중1","grow","중1","m-prep-time","시간 전치사 at / on / in","at 7 o'clock / on Monday / in May","시각은 at, 요일·날짜는 on, 월·계절·연도는 in이에요.","The class starts at nine.","My birthday is on March 3rd.","We go skiing in winter.","I was born in 2012.","Let's meet on Saturday.","","","","언제인지 시간 표현 앞에 붙일 때","at: 짧은 한 점 — 시각(at 3), 정오(at noon)
on: 하루 단위 — 요일(on Monday), 날짜(on May 5th)
in: 긴 기간 — 월(in July), 계절(in winter), 연도(in 2012)","1. 수업은 9시에 시작한다.
2. 내 생일은 3월 3일이다.
3. 우리는 겨울에 스키를 타러 간다.
4. 나는 2012년에 태어났다.
5. 토요일에 만나자.","at + 시각 (at 3:00, at noon, at night)
on + 요일·날짜 (on Friday, on May 5th)
in + 월·계절·연도 (in July, in winter, in 2025)","✗ See you in Monday. → ✓ See you on Monday. (요일은 on)","점은 at, 하루는 on, 긴 기간은 in!","(바꾸기 안 함)","",""
"57","중등","중1","bridge","중1","m-how-questions","How often / How long / How far","How often do you [ ]? / How long …?","How 뒤에 다른 말을 붙여 빈도·기간·거리·양을 물어요.","How often do you exercise?","How long does it take to get there?","How far is the station from here?","How much water do you drink a day?","How many brothers do you have?","","","","얼마나 자주·오래·멀리·많이인지 물을 때","How often = 얼마나 자주 (대답: every day, twice a week)
How long = 얼마나 오래 · How far = 얼마나 먼
How many + 셀 수 있는 복수 명사 / How much + 셀 수 없는 명사·가격","1. 얼마나 자주 운동해?
2. 거기 가는 데 얼마나 걸려?
3. 역이 여기서 얼마나 멀어?
4. 하루에 물을 얼마나 마셔?
5. 남자 형제가 몇 명이야?","How often: 얼마나 자주
How long: 얼마나 오래
How far: 얼마나 먼
How many + 복수명사 / How much + 셀 수 없는 명사","✗ How many water do you need? → ✓ How much water do you need? (셀 수 없는 명사는 much)","How 뒤에 붙는 말만 바꾸면 여러 질문이 돼요.","How often do you {verb}?","동작, 취미/오락, 일상생활, 스포츠",""
"58","중등","중2","entry","중2","m-present-perfect","현재완료 (have + 과거분사)","I have [과거분사] … / Have you ever [과거분사] …?","과거에 시작된 일이 지금까지 이어지거나 영향을 줄 때 써요.","I have been to Jeju Island twice.","Have you ever seen a whale?","She has lived here since 2020.","We have just finished dinner.","He has lost his wallet.","","","","과거에 시작된 일이 지금까지 이어지거나 영향을 줄 때
경험을 물을 때: Have you ever …?","과거는 ""그때"" 일만, 현재완료는 ""그때부터 지금까지""를 말해요.
경험(ever, never) · 계속(for, since) · 완료(just, already) · 결과(잃어버려서 지금 없음)
yesterday처럼 과거를 콕 집는 말과는 같이 쓰지 않아요.","1. 나는 제주도에 두 번 가 봤다. (경험)
2. 고래 본 적 있어? (경험)
3. 그녀는 2020년부터 여기 살고 있다. (계속)
4. 우리는 막 저녁을 다 먹었다. (완료)
5. 그는 지갑을 잃어버렸다. (결과: 지금 없음)","have/has + 과거분사(p.p.)
경험(ever, never, before) · 계속(for, since) · 완료(just, already, yet) · 결과
yesterday, last week, ago처럼 과거를 콕 집는 말과는 같이 안 써요","✗ I have seen him yesterday. → ✓ I saw him yesterday. (yesterday가 있으면 과거시제)
✗ She have lived here for years. → ✓ She has lived here for years. (3인칭 단수는 has)","""지금은?""이 함께 느껴지면 현재완료!","(바꾸기 안 함)","",""
"59","중등","중2","entry","중2","m-past-progressive","과거진행 (was/were ~ing)","I was [ ]ing when …","과거의 어느 순간에 하고 있던 일을 말해요.","I was sleeping when you called.","They were playing soccer at 5 p.m.","What were you doing last night?","She was reading while I was cooking.","It was snowing in the morning.","","","","과거 어느 순간에 하고 있던 일을 말할 때","was/were + 동사ing = ~하고 있었다
긴 배경 동작은 과거진행, 중간에 끼어든 짧은 일은 과거시제
while(~하는 동안) 뒤에 자주 와요.","1. 네가 전화했을 때 나는 자고 있었다.
2. 그들은 오후 5시에 축구를 하고 있었다.
3. 어젯밤에 뭐 하고 있었어?
4. 내가 요리하는 동안 그녀는 책을 읽고 있었다.
5. 아침에 눈이 오고 있었다.","was/were + 동사ing: ~하고 있었다
when, while과 자주 같이 써요","✗ They was playing soccer. → ✓ They were playing soccer. (they는 were)","""그때 ~하고 있었다""면 was/were + -ing!","I was {verb_ing} at that time.","동작, 취미/오락, 일상생활, 스포츠",""
